Transcript,Customer Statement,Sentiment,Call Outcome,label
transcript_184.txt,"Hi, Im calling about my recent doctors visit. I was charged a 50 copay, but Im pretty sure my policy says I shouldnt have to pay anything for that service.",Negative,Issue Resolved,0
transcript_183.txt,Unbelievable. How could this happen? I specifically called to confirm the coverage before I switched policies.,Negative,Follow-up Needed,0
transcript_155.txt,"You too, thank you.",Positive,Issue Resolved,2
transcript_73.txt,"Yeah, its CLM789012. Im really surprised it was denied because I know my new policy covers this service.",Negative,Issue Resolved,0
transcript_63.txt,Okay...,Neutral,Follow-up Needed,1
transcript_125.txt,"Okay... pause Nope, its still not working.",Negative,Follow-up Needed,0
transcript_52.txt,"No, thats all. Thank you so much for your help. Youve been very helpful and efficient.",Positive,Issue Resolved,2
transcript_154.txt,"Okay... pause Yeah, Im still getting the same error message.",Negative,Follow-up Needed,0
transcript_136.txt,My member ID is MEM456123 and the visit was on February 10th.,Neutral,Issue Resolved,1
transcript_20.txt,"Awesome, thank you so much! Im able to log in now.",Positive,Issue Resolved,2
transcript_122.txt,"Hi, Im calling to get a case preauthorized. My name is Emily Wilson and my member ID is MEM123456.",Neutral,Issue Resolved,1
transcript_59.txt,I need to get approval for an MRI scan for my knee. Ive been experiencing some pain and my doctor recommends I get an MRI to determine the cause.,Neutral,Issue Resolved,1
transcript_63.txt,"Im not getting any error message. When I try to register, it just keeps saying that my account is already created, but when I try to log in, it says that my username or password is incorrect.",Negative,Follow-up Needed,0
transcript_40.txt,Its MEM123456.,Neutral,Issue Resolved,1
transcript_194.txt,"You too, thank you.",Positive,Issue Resolved,2
transcript_147.txt,"My email address is jsmithexample.com and my password is... pauses, hesitant to share password ...well, Id rather not share it over the phone.",Negative,Issue Resolved,0
transcript_17.txt,"Hi, Im trying to register and log in to my online service account, but Im having some issues. My member ID is MEM123456.",Negative,Follow-up Needed,0
transcript_122.txt,"Sure, no problem.",Positive,Issue Resolved,2
transcript_60.txt,"No, thats all.",Neutral,Issue Resolved,1
transcript_173.txt,sighs Just make sure the appointment is scheduled correctly.,Neutral,Follow-up Needed,1
transcript_39.txt,Its CLM789012.,Neutral,Issue Resolved,1
transcript_170.txt,"Yes, thats correct.",Positive,Issue Resolved,2
transcript_114.txt,"No, thats all. Thank you again.",Positive,Issue Resolved,2
transcript_40.txt,"Okay, that sounds good. Can you also confirm that my account will be updated to reflect the corrected copay?",Positive,Issue Resolved,2
transcript_0.txt,My doctors name is Dr. Smith and the facility is Oakwood Medical Center.,Neutral,Issue Resolved,1
transcript_25.txt,"Great, thank you. I appreciate it.",Positive,Issue Resolved,2
transcript_114.txt,"No, thats all. Thank you so much for your help!",Positive,Issue Resolved,2
transcript_148.txt,"No, thats all. Thank you for your help.",Positive,Issue Resolved,2
transcript_136.txt,"Thats right. Ive been to this doctor before, and Ive never been charged more than 20.",Neutral,Issue Resolved,1
transcript_73.txt,"Hi, Im calling about a claim that was denied. My name is Emily Wilson, and my member ID is MEM123456.",Neutral,Issue Resolved,1
transcript_69.txt,"Okay, let me try... pause Yeah, its still not working.",Negative,Follow-up Needed,0
transcript_58.txt,"Great, thank you again for your help!",Positive,Issue Resolved,2
transcript_113.txt,"Hi, Im calling about my recent copay for a doctors visit. I was charged 50, but my policy says I shouldnt be paying more than 20 for a primary care visit.",Negative,Follow-up Needed,0
transcript_193.txt,"Hi, Im calling about a denied claim I received. I dont understand why it was denied. My claim number is MEM123456.",Negative,Issue Resolved,0
transcript_7.txt,Im not sure. Can I call back later and schedule something?,Neutral,Issue Resolved,1
transcript_103.txt,"Hi, Im calling about a claim that was denied. The reason given was that my policy doesnt cover the service, but Im certain it should be covered. My member ID is MEM123456.",Negative,Issue Resolved,0
transcript_144.txt,"Ive already tried that, but it didnt work. 0030",Negative,Follow-up Needed,0
transcript_158.txt,"Okay, thank you for clarifying that. And can you also provide me with a reference number for this issue?",Neutral,Issue Resolved,1
transcript_38.txt,"Okay, thats fine. Can you please tell me more about the outofpocket costs?",Neutral,Issue Resolved,1
transcript_175.txt,"I did try resetting my password earlier, but Im not sure if I did it correctly. Can you walk me through it again?",Neutral,Follow-up Needed,1
transcript_20.txt,"Awesome, thank you so much! Im able to log in now.",Positive,Issue Resolved,2
transcript_61.txt,But Im looking at my policy documents right now and it says that I shouldnt have to pay anything for a followup visit.,Neutral,Issue Resolved,1
transcript_11.txt,"Okay, Ive received the email and reset my password. Im able to log in now. Thank you for your help!",Positive,Follow-up Needed,2
transcript_50.txt,"Hi, Im calling about my recent copay for a service I received. I was charged 50, but I thought it was supposed to be 20 or maybe even no copay at all.",Negative,Issue Resolved,0
transcript_197.txt,My doctors name is Dr. Smith and the surgery is scheduled at Mercy Hospital.,Neutral,Issue Resolved,1
transcript_134.txt,"Okay... pause Nope, still not working.",Negative,Follow-up Needed,0
transcript_41.txt,"Hi, Im calling about my recent copay for a doctors visit. I was charged 50, but my policy says I shouldnt have to pay anything for a primary care visit.",Negative,Issue Resolved,0
transcript_166.txt,You too. Bye.,Neutral,Issue Resolved,1
transcript_198.txt,"Okay, great. Thank you for letting me know.",Positive,Issue Resolved,2
transcript_39.txt,"Okay, Ill hold.",Neutral,Issue Resolved,1
transcript_56.txt,"Okay, thank you for your help.",Positive,Issue Resolved,2
transcript_187.txt,"My policy number is the same, MEM123456, and the surgery was on January 10th.",Neutral,Issue Resolved,1
transcript_28.txt,"That sounds great, thank you! I think Id prefer Dr. Smith on Wednesday. What time is the appointment?",Positive,Issue Resolved,2
transcript_44.txt,"Its not loading correctly. When I try to log in, it just takes me back to the login page without giving me any errors.",Negative,Follow-up Needed,0
transcript_166.txt,"Okay, thank you. I appreciate your help.",Positive,Issue Resolved,2
transcript_95.txt,"When I try to log in, it says my username and password are incorrect. Ive tried resetting my password, but it still doesnt work.",Negative,Issue Resolved,0
transcript_180.txt,"Okay, got it. I just got the email.",Neutral,Issue Resolved,1
transcript_166.txt,"Well, when I try to register, it says my email address is already in use, but Ive never registered before. And when I try to log in, it says my password is incorrect, but Im sure Im entering the right one.",Neutral,Issue Resolved,1
transcript_167.txt,"This is ridiculous. Ive been waiting for weeks to get in to see a specialist, and now youre telling me I have to wait even longer? Can I speak to your supervisor?",Negative,Follow-up Needed,0
transcript_82.txt,Will do. Thanks again for your help.,Positive,Issue Resolved,2
transcript_178.txt,Ive been having some issues with my knee and Im looking to see an orthopedic specialist.,Negative,Issue Resolved,0
transcript_46.txt,Its jsmithemail.com.,Neutral,Follow-up Needed,1
transcript_33.txt,"That sounds great, thank you. How long will it take to get the claim approved?",Positive,Issue Resolved,2
transcript_76.txt,"You too, bye.",Neutral,Issue Resolved,1
transcript_91.txt,Thank you. You too.,Positive,Issue Resolved,2
transcript_77.txt,"Hello, Im having trouble registering and logging in to my online service account. My member ID is MEM123456. Can you help me?",Negative,Follow-up Needed,0
transcript_29.txt,"The service was for a physical therapy session, and I had recently switched to a new policy that includes coverage for physical therapy. However, the denial letter stated that my policy doesnt cover this service.",Neutral,Issue Resolved,1
transcript_95.txt,"Hi, Im having some trouble registering and logging in to my online service account. My member ID is MEM123456.",Negative,Issue Resolved,0
transcript_147.txt,"My email address is jsmithexample.com and my password is... pauses, hesitant to share password ...well, Id rather not share it over the phone.",Negative,Issue Resolved,0
transcript_111.txt,"still upset Fine. Thank you, I guess.",Negative,Follow-up Needed,0
transcript_125.txt,"Okay, that sounds great. Thank you so much for your help so far!",Positive,Follow-up Needed,2
transcript_171.txt,"Hi, Im calling to request a preauthorization for a medical procedure. My name is Emily Wilson and my member ID is MEM123456.",Neutral,Issue Resolved,1
transcript_161.txt,"Im not getting an error message, but when I try to enter my username and password, it just doesnt recognize them. Ive tried resetting my password, but that didnt work either.",Negative,Issue Resolved,0
transcript_129.txt,"Its jsmithemail.com. And yeah, I just tried logging in again and got the same error message.",Negative,Follow-up Needed,0
transcript_21.txt,"pause Okay, Ive tried registering again, and Im still having trouble. Im getting a different error message now.",Negative,Follow-up Needed,0
transcript_188.txt,"It was yesterday, and I had a routine checkup.",Neutral,Issue Resolved,1
transcript_111.txt,This is ridiculous. I know I wasnt supposed to pay that much. Can I speak to a supervisor?,Negative,Follow-up Needed,0
transcript_78.txt,"Hi, Im having some trouble logging in to my online account. My member ID is MEM123456.",Negative,Issue Resolved,0
transcript_104.txt,"I see. So, will I still need to get preauthorized?",Neutral,Issue Resolved,1
transcript_122.txt,Im scheduled to see a specialist for a knee injury Ive been experiencing. My doctor thinks I might need surgery.,Negative,Issue Resolved,0
transcript_131.txt,But Im certain my policy says 20 copay for specialist visits.,Neutral,Issue Resolved,1
transcript_117.txt,"You too, thank you again.",Positive,Issue Resolved,2
transcript_117.txt,"Thanks, you too.",Positive,Issue Resolved,2
transcript_161.txt,My email address is jsmithemail.com.,Neutral,Issue Resolved,1
transcript_162.txt,"Hi, Im having trouble registering and logging in to my online service account. My member ID is MEM123456.",Negative,Follow-up Needed,0
transcript_129.txt,"Its jsmithemail.com. And yeah, I just tried logging in again and got the same error message.",Negative,Follow-up Needed,0
transcript_149.txt,"No, thats all. Thank you again.",Positive,Follow-up Needed,2
transcript_172.txt,"Its August 12, 1990.",Neutral,Issue Resolved,1
transcript_161.txt,"No, thats all. Thanks again for your help!",Positive,Issue Resolved,2
transcript_42.txt,"Okay, thanks.",Positive,Issue Resolved,2
transcript_29.txt,You too. Bye.,Neutral,Issue Resolved,1
transcript_142.txt,"Thats great news, thank you! I was expecting to have to pay the deductible. Whats the next step in the process?",Positive,Issue Resolved,2
transcript_8.txt,It was just a regular checkup. I dont see why that would be an exception.,Neutral,Issue Resolved,1
transcript_11.txt,"Well, when I try to register, it says my email address is already in use. But Ive never registered before. And when I try to log in, it says my password is incorrect.",Negative,Follow-up Needed,0
transcript_13.txt,"It just says Invalid username or password every time I try to log in. Ive tried resetting my password multiple times, but it doesnt seem to be working.",Negative,Follow-up Needed,0
transcript_116.txt,"You too, bye!",Neutral,Issue Resolved,1
transcript_193.txt,"Hi, Im calling about a denied claim I received. I dont understand why it was denied. My claim number is MEM123456.",Negative,Issue Resolved,0
transcript_17.txt,"Okay, Ive tried that, but its still not working.",Negative,Follow-up Needed,0
transcript_92.txt,"No, thats all. Thank you!",Positive,Issue Resolved,2
transcript_113.txt,"Great, just great. Thanks for nothing.",Positive,Follow-up Needed,2
transcript_199.txt,"Alright, that sounds great. Thank you for your help in resolving this issue.",Positive,Issue Resolved,2
transcript_56.txt,"Its March 12, 1985.",Neutral,Issue Resolved,1
transcript_24.txt,Sounds good. Thanks again.,Positive,Issue Resolved,2
transcript_173.txt,"I need to see a cardiologist. Im available anytime next week, but preferably on Wednesday or Thursday.",Neutral,Follow-up Needed,1
transcript_166.txt,"Okay, thank you. I appreciate your help.",Positive,Issue Resolved,2
transcript_150.txt,"No, thats all. Thank you again for your help.",Positive,Issue Resolved,2
transcript_124.txt,"Alright, sounds good. I think thats all I need to know.",Positive,Issue Resolved,2
transcript_10.txt,"Hi, Im calling to schedule an appointment with a specialist. My name is Emily Wilson, and my member ID is MEM123456.",Neutral,Issue Resolved,1
transcript_178.txt,Sounds good to me. Can you go ahead and schedule the appointment for me?,Positive,Issue Resolved,2
transcript_141.txt,"Great, thank you so much for your help! I appreciate it.",Positive,Issue Resolved,2
transcript_18.txt,"Ive already tried that, but it didnt work. Im still having the same issue.",Negative,Follow-up Needed,0
transcript_45.txt,"Yes, of course. I recently switched to a new policy, but the claim for my physical therapy sessions was denied, saying that the service is not covered under my policy. However, Ive reviewed my new policy, and it clearly states that physical therapy is covered.",Neutral,Issue Resolved,1
transcript_137.txt,"Yes, it says my username and password are incorrect, but Im certain Im entering them correctly.",Neutral,Issue Resolved,1
transcript_104.txt,"Alright, that sounds good. Can you please provide me with the case number so I can follow up on it?",Positive,Issue Resolved,2
transcript_13.txt,"Hi, Im having some trouble registering and logging in to my online service account. My member ID is MEM456789.",Negative,Follow-up Needed,0
transcript_143.txt,"Hi, Im calling about my recent copay for a doctors visit. I was charged 50, but I thought it was supposed to be 20 or maybe even free. Can you help me figure out whats going on?",Negative,Issue Resolved,0
transcript_185.txt,"You too, bye.",Neutral,Issue Resolved,1
transcript_78.txt,Its johndoeemail.com.,Neutral,Issue Resolved,1
transcript_111.txt,angrily A miscommunication? Thats not my problem. I need this resolved now.,Negative,Follow-up Needed,0
transcript_77.txt,"Hello, Im having trouble registering and logging in to my online service account. My member ID is MEM123456. Can you help me?",Negative,Follow-up Needed,0
transcript_102.txt,"I havent set up a password yet, Im trying to register. But Ive tried multiple times and it still says my member ID is invalid.",Negative,Follow-up Needed,0
transcript_47.txt,That sounds great. Can you tell me a bit more about Dr. Smith and Dr. Johnson? What are their specialties?,Positive,Issue Resolved,2
transcript_184.txt,"No, thats all. Thank you so much for your help.",Positive,Issue Resolved,2
transcript_97.txt,"Hi, Im having trouble registering and logging in to my online service account. Im trying to access my account but its not working. My member ID is MEM123456.",Negative,Issue Resolved,0
transcript_163.txt,"That sounds great, thank you so much for your help. I really appreciate it.",Positive,Issue Resolved,2
transcript_172.txt,"The procedure code is 23456, and the date of service is scheduled for March 15th.",Neutral,Issue Resolved,1
transcript_108.txt,"Hi, Im calling to get a case preauthorized for a surgery I need. My name is Emily Wilson and my member ID is MEM123456.",Neutral,Follow-up Needed,1
transcript_188.txt,You too.,Neutral,Issue Resolved,1
transcript_65.txt,"No, thats all.",Neutral,Issue Resolved,1
transcript_181.txt,"Hi, Im so sorry to call back. I just realized I have a conflict on Wednesday. Can I reschedule for Thursday instead?",Negative,Issue Resolved,0
transcript_85.txt,hung up,Neutral,Follow-up Needed,1
transcript_66.txt,"Okay, I understand. Is there a case number or reference number I can use to follow up on the status?",Neutral,Issue Resolved,1
transcript_96.txt,Its claim20230101.,Neutral,Issue Resolved,1
transcript_85.txt,"sighs Fine, Ill take the 2 pm with Dr. Johnson.",Neutral,Follow-up Needed,1
transcript_78.txt,"Hi, Im having some trouble logging in to my online account. My member ID is MEM123456.",Negative,Issue Resolved,0
transcript_176.txt,"Its March 12, 1985.",Neutral,Issue Resolved,1
transcript_63.txt,"Hi, Im having trouble registering and logging in to my online service account. My member ID is MEM654321.",Negative,Follow-up Needed,0
transcript_164.txt,That sounds great. Can you tell me a little bit about Dr. Smith?,Positive,Issue Resolved,2
transcript_195.txt,"Hi, Im calling about my online service account. Im having trouble registering and logging in. My member ID is MEM123456.",Negative,Follow-up Needed,0
transcript_74.txt,Sounds great. Thank you again.,Positive,Issue Resolved,2
transcript_157.txt,"That sounds good. So, is the case preauthorized?",Positive,Issue Resolved,2
transcript_113.txt,"Yes, please do. This is unacceptable.",Negative,Follow-up Needed,0
transcript_110.txt,Its claim number CLM789012.,Neutral,Issue Resolved,1
transcript_62.txt,Thank you so much for your help! I appreciate it.,Positive,Issue Resolved,2
transcript_33.txt,"No, thats all. Thank you again.",Positive,Issue Resolved,2
transcript_157.txt,"Okay, thats fine. How much is the deductible?",Neutral,Issue Resolved,1
transcript_71.txt,"No, thats all. Thank you again for your help.",Positive,Issue Resolved,2
transcript_175.txt,"Yes, that works! Thank you so much for your help. I really appreciate it.",Positive,Follow-up Needed,2
transcript_98.txt,"Thats what the letter said, but I had switched to a new policy before I received the service, and Im certain its covered under the new policy.",Neutral,Issue Resolved,1
transcript_84.txt,"Okay, Ive tried logging in and it says that I need to enter a verification code sent to my email address.",Neutral,Follow-up Needed,1
transcript_100.txt,"The date of service was January 10th, and it was for a physical therapy session. I received a letter stating that my policy doesnt cover this type of service.",Negative,Issue Resolved,0
transcript_14.txt,"Im not getting any error message. It just says processing and then nothing happens. Ive tried multiple times, but I havent been able to get past that point.",Negative,Follow-up Needed,0
transcript_77.txt,Okay... pause It says my email address is not recognized.,Negative,Follow-up Needed,0
transcript_1.txt,"I switched policies on January 1st. I was told that the new policy would cover the service I received, but the denial letter says its not covered.",Negative,Follow-up Needed,0
transcript_48.txt,"No, thats all. Thank you again for your help.",Positive,Issue Resolved,2
transcript_151.txt,"I need to get an MRI done for my knee injury. My doctors office is going to send over the request, but I wanted to call ahead to get it preauthorized.",Neutral,Issue Resolved,1
transcript_149.txt,"Im not getting an error message. It just keeps taking me back to the login page. Ive tried using my username and password, but its not recognizing them.",Negative,Follow-up Needed,0
transcript_75.txt,"You too, bye.",Neutral,Issue Resolved,1
transcript_32.txt,Its MEM123456.,Neutral,Follow-up Needed,1
transcript_135.txt,"Okay, that sounds good. Thank you for your help.",Positive,Issue Resolved,2
transcript_83.txt,"Hi, Im calling to schedule an appointment with a specialist. My name is Emily Wilson, and my member ID is MEM123456.",Neutral,Issue Resolved,1
transcript_23.txt,"Hi, Im calling about a claim that was denied. I received a letter saying it was because my policy doesnt cover the service, but I had switched to a new policy that does cover it. My member ID is MEM123456.",Negative,Issue Resolved,0
transcript_153.txt,"Thank you, you too! Bye!",Positive,Issue Resolved,2
transcript_3.txt,"Thats ridiculous! I know what my policy says, and Im not paying 50 for something I shouldnt have to. Can I speak to a supervisor?",Negative,Follow-up Needed,0
transcript_131.txt,It was on February 10th and the provider was Dr. Smith.,Neutral,Issue Resolved,1
transcript_184.txt,"That sounds great, thank you so much. How long will it take to get the refund?",Positive,Issue Resolved,2
transcript_167.txt,"Unbelievable. Fine, take my number. But this is not resolved.",Negative,Follow-up Needed,0
transcript_90.txt,Im looking to see a cardiologist and Im available next Wednesday or Thursday.,Neutral,Issue Resolved,1
transcript_108.txt,Yeah... Ive been experiencing some back pain and my doctor says I need a herniated disc surgery. Ive already had an MRI and everything.,Negative,Follow-up Needed,0
transcript_98.txt,"No, thats all. Thank you.",Positive,Issue Resolved,2
transcript_123.txt,That sounds great! I think I would prefer Dr. Smith on Wednesday at 9 AM.,Positive,Issue Resolved,2
transcript_189.txt,"My email address is johndoeexample.com. And yes, Ive tried clearing my browser cache and cookies, but it didnt make a difference.",Neutral,Follow-up Needed,1
transcript_28.txt,"That sounds great, thank you! I think Id prefer Dr. Smith on Wednesday. What time is the appointment?",Positive,Issue Resolved,2
transcript_69.txt,"Okay, let me try... pause Yeah, its still not working.",Negative,Follow-up Needed,0
transcript_137.txt,"Hi, Im having trouble logging in to my online service account. My member ID is MEM123456.",Negative,Issue Resolved,0
transcript_168.txt,Its MEM123456.,Neutral,Issue Resolved,1
transcript_148.txt,"No, thats all. Thank you for your help.",Positive,Issue Resolved,2
transcript_0.txt,"Great, thank you for your help.",Positive,Issue Resolved,2
transcript_133.txt,"No, thats all. Thank you again for your time and assistance.",Positive,Issue Resolved,2
transcript_108.txt,angrily What do you mean? Ive already given you all the information you need. This is ridiculous.,Negative,Follow-up Needed,0
transcript_103.txt,"Yes, thats what the denial letter said. But I had switched my policy recently, and the new policy should cover this service.",Neutral,Issue Resolved,1
transcript_119.txt,provides account information,Neutral,Follow-up Needed,1
transcript_144.txt,"Ive already tried that, but it didnt work. 0030",Negative,Follow-up Needed,0
transcript_189.txt,"Hi, Im having trouble registering and logging in to my online service account. My member ID is MEM456789.",Negative,Follow-up Needed,0
transcript_132.txt,Thanks again.,Positive,Issue Resolved,2
transcript_129.txt,skeptical Okay... whats the temporary password?,Neutral,Follow-up Needed,1
transcript_152.txt,"Okay, I can do that. But can you also check if theres any errors on your end? Maybe something got misprocessed.",Neutral,Follow-up Needed,1
transcript_1.txt,"Hi, Im calling about a denied claim I received for my recent medical service. I was told that my policy doesnt cover it, but Im certain it should be covered under my new policy. My member ID is MEM123456.",Negative,Follow-up Needed,0
transcript_13.txt,"Hi, Im having some trouble registering and logging in to my online service account. My member ID is MEM456789.",Negative,Follow-up Needed,0
transcript_4.txt,"Okay, I think Id like to schedule an appointment with Dr. Johnson on Thursday at 10 AM.",Neutral,Issue Resolved,1
transcript_30.txt,angrily Thats unacceptable. I switched policies over a month ago. How could this not be updated?,Negative,Follow-up Needed,0
transcript_110.txt,"Alright, thank you.",Positive,Issue Resolved,2
transcript_58.txt,"No, thats all. Thank you again!",Positive,Issue Resolved,2
transcript_198.txt,"Okay, great. Thank you for letting me know.",Positive,Issue Resolved,2
transcript_54.txt,I need to have an MRI scan done for my knee. Ive been experiencing some pain and my doctor recommends I get it checked out.,Negative,Issue Resolved,0
transcript_140.txt,Thats a bit too early for me. Do you have anything later in the day?,Neutral,Issue Resolved,1
transcript_174.txt,"Hi, Im calling to get a case preauthorized for a surgery Im scheduled to have next week. My name is Emily Wilson, and my member ID is MEM123456.",Neutral,Issue Resolved,1
transcript_84.txt,"Okay, whats the new password?",Neutral,Follow-up Needed,1
transcript_3.txt,"Thats ridiculous! I know what my policy says, and Im not paying 50 for something I shouldnt have to. Can I speak to a supervisor?",Negative,Follow-up Needed,0
transcript_33.txt,"No, thats all. Thank you again.",Positive,Issue Resolved,2
transcript_78.txt,"Will do, thanks again!",Positive,Issue Resolved,2
transcript_28.txt,"Yes, that would be great, thank you!",Positive,Issue Resolved,2
transcript_80.txt,"Well, Ive tried registering multiple times, but it keeps saying that my email is already in use. But when I try to log in, it says that my password is incorrect.",Negative,Follow-up Needed,0
transcript_70.txt,"sighs Fine. pause Okay, its working now. But this has been a huge waste of my time.",Negative,Follow-up Needed,0
