Customer Statement,Sentiment_actual
That sounds great. Can you tell me a little bit about Dr. Smith?,Positive
"That's great, thank you. How long will it take for the refund to be processed?",Neutral
"Okay, that sounds good. Thank you for your help.",Neutral
"Okay, what does that mean?",Neutral
You're welcome. Thank you for your help.,Positive
"Okay, let me try that. (pause) Hmm, it's not sending me a reset link. It says my email address is not recognized.",Neutral
"No, that's all. Thank you so much for your help!",Positive
It's jsmith@email.com.,Positive
I'm looking for a dermatologist and I was thinking maybe next Wednesday or Thursday. Do you have any availability?,Negative
"Oh, I see. Can you fix that and reprocess my claim?",Negative
"No, that's all. Thank you again.",Negative
"It just says ""invalid credentials"" when I try to log in. I've tried resetting my password, but it still doesn't work.",Negative
It's MEM123456.,Neutral
"The procedure code is 23456, and the date of service is scheduled for March 15th.",Negative
"Alright, thank you so much for your help. I appreciate it.",Positive
"Well, I actually switched to a new policy a few months ago, and as per the new policy, this service should be covered. I'm not sure why it was denied.",Neutral
Bye.,Positive
"Alright, thank you for your help.",Positive
"Hi, I'm having trouble logging in to my online account. I'm trying to register, but it's not working. My member ID is MEM000123.",Negative
"That's great news, thank you.",Positive
It's MEM123456.,Neutral
"No, that's all. Thank you so much for your help!",Positive
"(angrily) No, that's all.",Negative
"No, I understood everything. Thank you for checking in with me.",Negative
"Yeah, that's fine. Thank you for your help so far.",Positive
"Okay, let me do that. (pause) Okay, I've cleared everything. But I'm still getting the same error message.",Neutral
"I'm using Google Chrome, version 91.",Positive
"So, what's going to happen with my claim now?",Neutral
I'm looking for a dermatologist. I've been having some skin issues and I'd like to get it checked out.,Neutral
"Hi, I'm calling to get a case pre-authorized. My name is Emily Wilson and my member ID is MEM123456.",Negative
"Hello, I'm calling about my recent doctor's visit. I was charged a $50 copay, but I thought my policy had a $20 copay for that service.",Negative
I'm looking to get a knee replacement surgery. I've been experiencing a lot of pain and my doctor thinks this is the best course of action.,Positive
"Okay, sounds good. Thank you for your help so far.",Neutral
"Hi, I'm calling about a claim that was denied. My name is Emily Wilson, and my member ID is MEM123456.",Negative
"No, that's all. Thank you again for your help.",Negative
That sounds great. I think I'd like to schedule with Dr. Johnson at 2:00 PM.,Positive
"Hi, I am calling to schedule an appointment with a specialist. My name is Emily Wilson and my member ID is MEM123456.",Neutral
"No, that's all. Thank you.",Negative
You too. Bye.,Positive
"That makes sense, I guess. So, what can we do to fix this?",Neutral
This is ridiculous. I know I wasn't supposed to pay that much. Can I speak to a supervisor?,Negative
"Yes, I'm scheduled to undergo a knee replacement surgery on March 15th at Mercy Hospital. My doctor's name is Dr. Smith and the procedure code is 27447.",Negative
"Hi, I'm calling about my recent copay for a service I received. I was charged $50, but I thought it was supposed to be $20 or maybe even no copay at all.",Negative
"Okay, that sounds good. How long will it take to update the policy and reprocess the claim?",Neutral
It's jsmith@email.com.,Positive
"Hi, I'm having trouble logging in to my online account. I'm trying to register, but it's not working. My member ID is MEM000123.",Negative
"No, that's all. Thank you again.",Negative
My primary care physician is Dr. Johnson and I've been experiencing symptoms for about 6 months now.,Positive
"No, that's all. Thank you again.",Negative
"No, that's all. Thank you so much for your help!",Positive
"Okay, I'll send it over. But can you at least waive the extra $30 I was charged?",Neutral
"No, that's all. Thank you so much for your help!",Positive
"My date of birth is March 12, 1985, and my primary care physician is Dr. Smith.",Positive
"That makes sense. So, what can be done to resolve this?",Neutral
"Yes, of course. The claim was for a physical therapy session, and the denial letter said that my policy doesn't cover this service. But I'm certain that my new policy does cover it. I switched policies a few months ago.",Neutral
"My date of birth is June 12, 1985, and my primary care physician is Dr. Smith.",Positive
"Hi, I'm having trouble logging in to my online account. I'm trying to register, but it's not working. My member ID is MEM000123.",Negative
"Yes, I have access to my email.",Positive
"No, that's all. Thank you.",Negative
"Okay, that's fine. Can you tell me what the deductible amount is?",Neutral
"Will do, thank you.",Positive
It's MEM123456.,Neutral
I switched policies about two months ago. I remember selecting the option that included coverage for the service I received.,Negative
"My date of birth is March 12, 1985, and my primary care physician is Dr. Smith.",Positive
"Hi, I'm calling to get a case pre-authorized for a surgery I'm scheduled to have next week. My name is Emily Wilson, and my member ID is MEM123456.",Negative
I've never actually logged in successfully. This is my first time trying to register.,Negative
"Okay, I've got it. But what if I don't get the reset email?",Neutral
It's #CLM789012. I've already checked my policy and it says that the service is covered.,Neutral
Okay... (pause) It says my email address is not recognized.,Neutral
"Okay, thank you for clarifying that. And can you also provide me with a reference number for this issue?",Neutral
"Hi, I'm calling to get a case pre-authorized for a upcoming medical procedure. My name is Emily Wilson and my member ID is MEM543210.",Negative
"Sure, thank you.",Positive
That sounds perfect. I'd like to schedule an appointment with Dr. Smith for Monday at 2 PM.,Positive
That sounds great. Thank you for your help.,Positive
"I'm not getting an error message. It just keeps taking me back to the login page. I've tried using my username and password, but it's not recognizing them.",Negative
"Okay, that sounds good. Can you please give me the fax number?",Neutral
"Alright, thank you for your help. I'll keep an eye on my email.",Positive
"No, that's all. Thank you again.",Negative
Sure thing.,Positive
"Hi, I'm calling to get a case pre-authorized for a procedure I'm scheduled to have next week. My name is Emily Wilson and my member ID is MEM123456.",Negative
"Yeah, my date of birth is March 12, 1990, and the last four digits of my payment method are 1234.",Negative
You're welcome. Thank you for your help.,Positive
"Oh, I wasn't aware of that. What does that mean for my coverage?",Negative
"It just says ""Invalid username or password"" every time I try to log in. I've tried resetting my password multiple times, but it doesn't seem to be working.",Negative
"That sounds great, actually. Can you tell me a bit more about Dr. Smith?",Positive
"My new policy effective date is January 1st, and the date of service was January 15th.",Positive
"Okay, I'll let them know. How long will it take to get a decision once you receive the information?",Neutral
"No, that's all. Thanks again for your help!",Positive
It's claim number CLM789012.,Negative
"No, that's all. Thank you again.",Negative
My name is Emily Wilson.,Positive
"Hi, I'm calling about a denied claim I received for a service I had done last month. My name is Emily Wilson, and my member ID is MEM123456.",Negative
"No, that's all. Thank you.",Negative
"The visit was on January 10th, and the provider's name is Dr. Smith.",Negative
"No, that's all. Thank you again.",Negative
"That sounds great, thank you. Yes, please go ahead and schedule it for Wednesday at 2 PM.",Positive
"My date of birth is March 12, 1985, and the denied service was for a physical therapy session on January 10th.",Negative
"Let me check... (pause) Yes, my current deductible balance is $500.",Negative
"No, that's all. Thank you again.",Negative
"Okay, that makes sense. Can you update the system and reprocess the claim?",Neutral
"(pause) Yes, I'm in! Thank you so much for your help.",Positive
"Hi, I'm calling about my recent copay charge. I was charged $50 for a doctor's visit, but I'm pretty sure I shouldn't have been charged that much.",Neutral
"It's March 12, 1985.",Positive
(skeptical) Okay... what's the temporary password?,Neutral
"Okay, that's fine. How much is the deductible?",Neutral
I'm scheduled to have a knee replacement surgery on March 15th. My doctor says I need to get pre-authorization before the procedure.,Neutral
"Okay, that sounds good. But can you also confirm that the claim will be approved once the new policy information is updated?",Neutral
"Okay, thank you for resolving this issue.",Neutral
I think I'd like to see Dr. Smith on Tuesday at 2 PM.,Neutral
"No, that's all.",Negative
"Okay, that sounds great. I think I would like to schedule an appointment with Dr. Smith at 2:30 PM on Wednesday.",Neutral
"Great, thank you.",Positive
"The new policy effective date is March 1st, and the physical therapy sessions took place in April.",Positive
"(pause) Yes, I'm in! I'm logged in to my account. Thank you so much for your help!",Positive
"My doctor's name is Dr. Smith, and the MRI is scheduled at Mercy Hospital.",Positive
It's claim number CLM789012.,Negative
"Okay, that makes sense. But what can we do about the claim now?",Neutral
My doctor's name is Dr. Smith and the facility is Mercy Hospital.,Positive
"No, that's all. Thank you so much for your help!",Positive
"Hi, I'm having trouble registering and logging in to my online service account. My member ID is MEM456789.",Negative
"No, that's all. Thank you again.",Negative
"Yes, I'm using the correct URL and I've double-checked my email address and password. I'm still having the same issue.",Neutral
"Yes, my cell phone number is 555-123-4567.",Negative
"I'm not seeing an error message, it just says my username and password are incorrect. But I'm positive I'm entering the correct information.",Neutral
"Okay, great. Thank you so much for your help. I appreciate it.",Positive
"Hmm, I'm not sure. Can you tell me a little bit more about Dr. Johnson's experience with acne treatment?",Neutral
"Yes, I can do that. How long will it take to process the pre-authorization once you receive the information?",Neutral
"I've already tried that. I've reset my password multiple times, but I still can't log in. And now I'm getting a message that says my account is locked.",Negative
That's correct. Thank you again for your help.,Neutral
"I actually recently switched to a new policy, which I thought covered physical therapy sessions. I'm not sure why it was denied. My new policy is a Platinum plan, and I switched to it last month.",Negative
"I've already tried that, but it didn't work. (00:30)",Negative
Bye.,Positive
"Yes, that would be great, thank you!",Positive
Thank you. You too.,Positive
"It's a knee replacement surgery and it's scheduled for next Thursday, March 25th.",Neutral
"Okay, I'll try that. But I'm not sure how to reset my password.",Neutral
I've been experiencing some back pain and I'd like to see an orthopedic specialist. I was hoping to get an appointment as soon as possible.,Neutral
Sounds good. How long will that take?,Positive
"My date of birth is March 12, 1985, and my primary care physician is Dr. Smith.",Positive
"Ah, let me check. (pause) Yeah, I found an email from you guys, but it's from a few months ago. I don't think I signed up back then.",Negative
"Okay, I'll hold.",Neutral
"Hi, I'm calling to get a case pre-authorized. My name is Emily Wilson and my member ID is MEM123456.",Negative
"Sure, thank you.",Positive
"Hmm, that's a tough choice. Can you tell me a bit more about Dr. Johnson's experience with back pain?",Neutral
"Yeah, that would be great. I've tried resetting it before, but maybe I did something wrong.",Neutral
"No, that's all. Thank you for your help.",Negative
"Let me check... (pause) Yes, I did get a blood test done during the visit.",Neutral
"You too, thank you again!",Positive
"No, that's all. Thanks again for your help!",Positive
"(angrily) No, that's all.",Negative
"My date of birth is March 12, 1985, and my primary care physician is Dr. Smith.",Positive
"Okay, I'll try that. (pause) Okay, I've cleared my cache and cookies. Still not working.",Neutral
"Okay, thank you.",Neutral
(pause) Okay... I'm in. Finally.,Neutral
"I was thinking maybe sometime next week? I'm available Monday, Wednesday, or Friday.",Neutral
"My date of birth is March 12, 1985, and the denied service was for a physical therapy session on January 10th.",Negative
Sounds good. Thank you again for your help!,Positive
It's MEM123456.,Neutral
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson, and my member ID is MEM123456.",Neutral
"No, everything is still the same. (01:15)",Negative
"Hi, I'm calling to get a case pre-authorized for a medical procedure. My name is Emily Wilson, and my member ID is MEM123456.",Negative
Goodbye.,Positive
It was on January 15th and I had a follow-up appointment with my primary care physician.,Negative
"Okay, that sounds good.",Neutral
"Hi, my name is Emily Wilson and my member ID is MEM456789. I'm calling about a claim that was denied. I received a letter stating that my policy doesn't cover the service, but I'm certain that it should be covered under my new policy.",Negative
"That sounds great, thank you. How will I know if everything is taken care of?",Positive
"You too, bye!",Positive
It's jsmith@email.com.,Positive
"Okay, I'll try that. (pause) Yes, that worked! I'm logged in now. Thank you so much for your help!",Neutral
I'm looking for a cardiologist and I was thinking maybe next Wednesday or Thursday.,Negative
My member ID is MEM123456.,Positive
"Hi, I'm calling about my recent visit to the doctor. I was charged a copay of $50, but I'm sure my policy says it's supposed to be $10.",Negative
I need to see a cardiologist.,Neutral
"Hi, I'm calling to get a case pre-authorized for a procedure I need to have done. My name is Emily Wilson and my member ID is MEM123456.",Neutral
"Hi, I'm calling about a denied claim I received. My name is Emily Wilson, and my member ID is MEM456789.",Negative
Thank you. You too.,Positive
You too.,Positive
"Sure, thank you.",Positive
"You too, thanks.",Positive
"Okay, understood. Thank you for letting me know.",Neutral
"Okay, done.",Neutral
Goodbye.,Positive
"Hi, I'm calling about a denied claim I received for my recent medical service. I don't understand why it was denied when I've been paying my premiums on time.",Negative
"It's MEM123456. But I want to mention that I recently switched policies, and I believe the new policy should cover this service.",Neutral
I've never actually logged in successfully. This is my first time trying to register.,Negative
"Oh, that makes sense. So, what can be done to fix this?",Neutral
"No, that's all. Thank you again for your help. (02:30)",Negative
"Well, when I try to register, it says that my email address is already in use. But I've never signed up for an account before. And when I try to log in, it says that my password is incorrect, but I know I'm entering it correctly.",Neutral
"No, that's all. Thank you again.",Negative
"No, that's all. Thank you.",Negative
Goodbye.,Positive
"No, that's it. Thanks for fixing the problem.",Neutral
"No, that's all. Thank you again!",Negative
(sighs) Just make sure the appointment is scheduled correctly.,Neutral
"It was on January 10th, and it was for physical therapy. I've had this service covered before, but I recently switched to a new policy. I thought this new policy would cover it.",Neutral
It's jsmith@email.com.,Positive
You too. Bye.,Positive
"(angrily) No, that's all.",Negative
"Okay...I think I've done that before, but I'll try again. (pause) Okay, I've reset it. But I'm still getting the same error message.",Neutral
"Hi, I'm calling about a denied claim. My name is Emily Wilson, and my member ID is MEM456789.",Negative
"Okay, that sounds good. Can you please give me a reference number or something so I can follow up on the status of the claim?",Neutral
"No, that's all. Thank you so much for your help.",Positive
"No, that's all. Thanks again.",Negative
"Okay, got it. And what's the parking situation like?",Neutral
Sure thing.,Positive
"Okay, I've done that. But now it's saying my account is locked.",Neutral
"Hi, I'm calling about my recent bill for a doctor's visit. I was charged a copay of $50, but I thought my policy waived copays for primary care visits.",Negative
"Hello, I'm having some trouble registering and logging in to my online service account. My member ID is MEM123456.",Negative
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson, and my member ID is MEM123456.",Neutral
"Yes, sure. Thank you.",Positive
"You too, thank you.",Positive
"Sounds good, thank you.",Positive
"That makes sense, I guess. But how long will it take to get this updated and the claim approved?",Neutral
"(pause) I've checked my spam folder, and it's not there either.",Negative
"Yes, of course. I had a medical procedure done and I submitted a claim for it, but it was denied because the policy doesn't cover that service. However, I had switched to a new policy a few months ago and I'm pretty sure that this new policy does cover that service.",Neutral
It's jsmith@email.com.,Positive
"Hi, I'm calling about a denied claim I received for my recent medical service. I don't understand why it was denied when I've been paying my premiums on time.",Negative
"That sounds great, thank you so much for your help. I really appreciate it.",Positive
"No, that's all. Thank you.",Negative
(angrily) Fine. Thank you for nothing.,Negative
But I specifically asked for Dr. Smith. Why can't I get an appointment with him sooner?,Neutral
"Great, thank you.",Positive
My member ID is MEM123456.,Positive
"Okay, let me try that. (pause) Okay, I've tried it in Firefox, but I'm still having the same issue.",Neutral
"Okay, let me try... (pause) Yeah, it's still not working.",Neutral
"Okay, thank you. I appreciate your help.",Neutral
"That makes sense. So, what can be done to fix this?",Neutral
"Okay, great. Thank you for your help.",Positive
"I need to see a cardiologist, and I was thinking maybe next Wednesday or Thursday?",Negative
"Let me check with my doctor's office real quick. (pause) Okay, the diagnosis code is 715.16, and the CPT code is 27447.",Neutral
"It's August 12, 1985.",Negative
"My doctor says I need to have the surgery to alleviate the pain and discomfort I've been experiencing in my knee. I've tried physical therapy and other treatments, but nothing seems to be working.",Negative
"So, my new policy does cover the service, but because it's not in the system, the claim was denied?",Neutral
I'd prefer to come in as soon as possible. How about tomorrow or the day after?,Neutral
"Okay, I guess that's all I can ask for. Thank you for your help.",Neutral
