Customer Statement,Sentiment_actual
"Okay, got it. ISS001234. Thank you for your help.",Neutral
Will do. Thanks again.,Positive
"Hi, I'm calling to get a case pre-authorized. My name is Emily Wilson and my member ID is MEM123456.",Negative
"My date of birth is March 12, 1985, and my phone number is 555-123-4567.",Positive
"I need to get an MRI done for a knee injury. My doctor's name is Dr. Smith, and he's affiliated with General Hospital.",Positive
"The CPT code is 73600, and I'm planning to have it done on March 25th.",Neutral
"That sounds right. So, will I need to pay the deductible upfront?",Neutral
"Oh, I wasn't aware of that. What does that mean for my coverage?",Negative
"I see. So, will I still need to get pre-authorized?",Neutral
"Okay, that sounds good. What's the next step?",Neutral
"Alright, that sounds good. Can you please provide me with the case number so I can follow up on it?",Neutral
"Great, thank you. Is there anything else I need to do?",Positive
You're welcome. Thank you for your help.,Positive
You too. Bye.,Positive
"Hi, I'm calling about a denied claim I received. I'm very frustrated because I'm certain it should be covered. My name is Emily Wilson, and my member ID is MEM123456.",Negative
"Yes, of course. The claim was for a doctor's visit, and the reason for the denial was that it's not covered under my policy. But I had switched to a new policy last month, and I'm certain that this service is covered under the new policy.",Neutral
"( pause ) Yes, I'm still holding.",Positive
That's unacceptable. I switched policies over a month ago. How could this not be updated in your system yet?,Negative
Okay...I hope this gets resolved soon. I need to get reimbursed for that doctor's visit.,Neutral
"Okay...thank you, I guess.",Neutral
"No, that's all.",Negative
Thanks.,Positive
"Hello, I'm having some trouble registering and logging in to my online service account. My member ID is MEM123456.",Negative
"Well, when I try to register, it says that my email address is already in use. But I'm sure I've never registered before.",Neutral
"Ah, let me check. (pause) Yeah, I found an email from you guys, but it's from a few months ago. I don't think I signed up back then.",Negative
"My email address is johndoe@example.com, and my date of birth is March 12, 1990.",Positive
"Okay, let me try. (pause) Yeah, it looks like I'm able to register now! Thank you so much for your help!",Neutral
"Thanks again, you too!",Positive
"No, that's all. Thanks again for your help!",Positive
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson and my member ID is MEM123456.",Neutral
I'm looking to see a cardiologist.,Neutral
I was thinking maybe next Wednesday or Thursday?,Negative
That sounds great. I'll take the Wednesday at 2 PM appointment.,Positive
"No, that's all. Thank you so much for your help!",Positive
"Yes, my cell phone number is 555-123-4567.",Negative
"Thank you, bye!",Positive
"Hi, I'm calling to get a case pre-authorized for a surgery I need. My name is Emily Wilson and my member ID is MEM123456.",Negative
"My date of birth is March 12, 1985, and my primary care physician is Dr. Smith.",Positive
Yeah... I've been experiencing some back pain and my doctor says I need a herniated disc surgery. I've already had an MRI and everything.,Negative
"(sighs) Look, can we just get to the point? I need to get this pre-authorization done so I can schedule the surgery. Can you just tell me if it's going to be covered or not?",Negative
"(frustrated) Fine. Yes, I've had a few surgeries in the past, okay? And I have some pre-existing conditions. Can we move on now?",Neutral
(angrily) What do you mean? I've already given you all the information you need. This is ridiculous.,Negative
(interrupting) Unbelievable. How long is this going to take?,Negative
"(angrily) This is ridiculous. I'm going to have to call back next week to follow up on this, aren't I?",Negative
(angrily) Inconvenience? You have no idea... (hangs up the phone),Negative
"Hi, I'm having trouble registering and logging in to my online service account. My member ID is MEM123456.",Negative
"Well, when I try to log in, it says my username and password are incorrect. I've tried resetting my password, but it's still not working.",Negative
It's jsmith@email.com.,Positive
I'm using Google Chrome.,Positive
"Okay, I'll try that. (pause) Okay, I've cleared my cache and cookies. But I'm still having the same issue.",Neutral
"Okay, let me try that. (pause) Okay, I've tried logging in with Mozilla Firefox, but I'm still having the same issue.",Neutral
"Okay, I'll hold.",Neutral
"Okay, I'll try that. (pause) Yes, that worked! I'm logged in now. Thank you so much for your help!",Neutral
"No, that's all. Thank you again for your help.",Negative
"Hi, I'm having trouble registering and logging in to my online service account. My member ID is MEM123456.",Negative
"Well, when I try to register, it says my email address is already in use. But I've never registered before. And when I try to log in, it says my password is incorrect.",Negative
"Okay, I've cleared my cache and cookies. But I'm still getting the same error message.",Neutral
"My email address is john.doe@example.com and my date of birth is March 12, 1980.",Positive
That's possible. What do I need to do to access my account?,Neutral
"Yes, I have access to my email.",Positive
"Okay, I've received the email and reset my password. I'm able to log in now. Thank you for your help!",Neutral
"Hi, I'm calling about a denied claim I received. My name is Emily Wilson, and my member ID is MEM123456.",Negative
It's claim number CLM789012.,Negative
"That's right. But I had switched to a new policy a few months ago, and as per the new policy, the affected services should be covered.",Neutral
"That doesn't make sense. I did switch policies, and I should have received the new policy documents by now.",Negative
"Okay, that sounds good. But how long will that take?",Neutral
"Okay, thank you. But I'm still not sure why this happened in the first place.",Neutral
"Alright, thank you.",Positive
"Okay, thank you.",Neutral
(on hold for 2 minutes),Negative
"Okay, thank you.",Neutral
"Alright, thank you.",Positive
"No, that's all. Thank you.",Negative
"Hi, I'm calling about my recent visit to the doctor. I was charged a copay of $50, but I'm sure my policy says it's supposed to be $10.",Negative
"Yeah, my policy is the silver plan, and the visit was on January 10th.",Positive
That's not what I was told when I signed up for this policy. I was told it would be $10 or maybe even no copay at all. Can you check again?,Negative
This is ridiculous. I know I wasn't supposed to pay that much. Can I speak to a supervisor?,Negative
(angrily) A miscommunication? That's not my problem. I need this resolved now.,Negative
"(still upset) Fine. Thank you, I guess.",Neutral
"No, that's all.",Negative
(hangs up),Negative
"Hi, I'm calling to request a case pre-authorization for a procedure I need to undergo. My name is Emily Wilson and my member ID is MEM123456.",Negative
"My date of birth is March 12, 1985, and my contact number is 555-1234.",Positive
The procedure code is XYZ123 and it's scheduled for March 25th. My doctor's name is Dr. Smith and his office is located at 123 Main St.,Positive
"Sure, thank you.",Positive
"Okay, that sounds good. How much is the deductible and how much will I need to pay out of pocket?",Neutral
That sounds good. What's the next step in the process?,Positive
"Great, thank you so much for your help! I really appreciate it.",Positive
"You too, thank you again!",Positive
"Hi, I'm calling about my recent copay for a doctor's visit. I was charged $50, but my policy says I shouldn't be paying more than $20 for a primary care visit.",Negative
It's MEM123456.,Neutral
"The visit was on January 10th, and the provider's name is Dr. Smith.",Negative
"I have the Silver Plan. And according to the policy documents, I shouldn't have to pay more than $20 for a primary care visit.",Neutral
"But that's not correct. I specifically made an appointment with Dr. Smith as my primary care physician. And even if it was a specialist visit, my policy says I shouldn't pay more than $30.",Negative
That's ridiculous. I don't see why I should have to pay more than what my policy allows. Can I speak to a supervisor?,Negative
"Yes, please do. This is unacceptable.",Negative
Unbelievable. I've wasted 10 minutes of my time already. Can you at least give me a case number or something so I can reference this conversation?,Negative
"Great, just great. Thanks for nothing.",Positive
Whatever.,Neutral
"No, that's it.",Negative
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson and my member ID is MEM123456.",Neutral
I've been experiencing some back pain lately and I'd like to see an orthopedic specialist.,Neutral
"I'm pretty flexible, but I was thinking maybe sometime next Wednesday or Thursday?",Neutral
That sounds great. I think I'd prefer Dr. Smith on Wednesday at 2 PM.,Positive
"No, that's all. Thank you so much for your help!",Positive
"No, that's all. Thank you again.",Negative
"Hi, my name is Emily Wilson and my member ID is MEM456789. I'm calling about a claim that was denied. I received a letter stating that my policy doesn't cover the service, but I'm certain that it should be covered under my new policy.",Negative
"Yes, of course. The claim was for a dental procedure that I had last month. I had switched to a new policy in January, and according to the policy documents, this type of procedure should be covered.",Neutral
That makes sense. I did switch policies recently. Can you please update the system and reprocess the claim?,Neutral
"Okay, that sounds good. Can you please give me a reference number or something so I can follow up on the status of the claim?",Neutral
"Great, thank you so much for your help. I appreciate it.",Positive
Thank you again. I'll wait to hear back from the claims team.,Positive
"Hi, I'm calling about my recent bill for a doctor's visit. I was charged a $50 copay, but I thought it was supposed to be only $20 according to my policy.",Negative
It's MEM456789.,Positive
"The visit was on February 10th, and the doctor's name is Dr. Smith.",Negative
"I have a Gold plan, and according to my policy documents, the copay for a doctor's visit is supposed to be $20.",Negative
"That sounds great, thank you so much for your help! I appreciate it.",Positive
"No, that's all. Thank you again!",Negative
"You too, bye!",Positive
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson and my member ID is MEM123456.",Neutral
I'm looking for a cardiologist and I was thinking maybe next Wednesday or Thursday.,Negative
"That's great, thank you. Can you tell me a bit more about Dr. Smith and Dr. Johnson?",Positive
I think I'd like to schedule with Dr. Johnson on Thursday at 10 AM.,Neutral
"No, that's all. Thank you so much for your help!",Positive
"You too, thank you again.",Positive
"Hi, wait. Can you also send me a reminder a day before the appointment?",Negative
"Great, thanks for that.",Positive
"No, that's all.",Negative
"Thanks, you too.",Positive
"Hi, I'm having some trouble registering and logging in to my online service account. Can you help me?",Neutral
"Yeah, when I try to log in, it says my username and password are incorrect. But I'm sure I'm entering the right information.",Negative
"Okay...I think I've done that before, but I'll try again. (pause) Okay, I've reset it. But I'm still getting the same error message.",Neutral
Um...I don't think so. I've only tried logging in a few times today.,Negative
"Oh, great! Thank you so much!",Positive
Okay... (pause) Yes! I'm in! Thank you so much for your help!,Neutral
"Will do, thanks again!",Positive
"Hi, I'm having trouble registering and logging in to my online service account. My member ID is MEM123456. Can you help me?",Negative
"Well, I'm not getting any error message. It just doesn't seem to be accepting my login credentials. I've tried multiple times, but it keeps saying that my username or password is incorrect.",Negative
"Okay, I'm on the login page now. I've entered my username and password.",Neutral
"Yeah, my caps lock is off, and I'm pretty sure I'm entering the correct credentials.",Neutral
Sure.,Positive
"Okay... (pause) Yeah, I'm in now. But I'm having trouble registering for the service. It's not accepting my registration information.",Neutral
"(pause) Yeah, it says that my account information is incomplete.",Negative
(provides account information),Positive
"(pause) Yeah, it looks like it went through this time.",Positive
"No, that's all. Thank you for your help.",Negative
"Hi, I'm calling about my recent doctor's visit. I was charged a $50 copay, but I'm pretty sure my policy says I shouldn't have to pay anything for that service.",Negative
My member ID is MEM123456.,Positive
It was a routine physical exam on January 10th. My policy says I shouldn't have to pay anything for preventive care.,Negative
"That's what I thought. So, what can be done about the charge I already paid?",Neutral
"That sounds great, thank you so much for your help!",Positive
"No, that's all. Thank you again!",Negative
"Hi, I'm calling to schedule an appointment with a specialist. My name is Rachel Lee and my member ID is MEM123456.",Negative
I need to see a cardiologist. I've been experiencing some chest pain and I'd like to get it checked out.,Neutral
I was thinking sometime next week. Do you have any availability on Wednesday or Thursday?,Negative
That's great. Can you tell me a bit more about both doctors?,Positive
That sounds good. I think I'd like to schedule with Dr. Johnson on Thursday at 10 AM.,Positive
"Actually, I'm not sure. I'll need to check with my doctor and get back to you.",Negative
"Yes, that sounds good. Thank you for your help.",Positive
Thank you.,Positive
"No, that's all. Thank you.",Negative
You too. Bye.,Positive
"Hi, I'm calling to get a case pre-authorized for a medical procedure. My name is Emily Wilson and my member ID is MEM123456.",Negative
"It's August 12, 1985.",Negative
"Yes, I'm scheduled to have a knee replacement surgery on March 15th. My doctor's name is Dr. Smith and the procedure code is 29881.",Negative
"My address is 123 Main Street, Anytown, USA 12345, and my phone number is 555-555-5555.",Positive
"Sure, thank you.",Positive
What kind of information do you need?,Neutral
"Okay, I'll have him do that. How long will it take to process the pre-authorization once you receive the report?",Neutral
"Okay, I understand. Can I check on the status of my pre-authorization request while it's being processed?",Neutral
"Okay, thank you for your help.",Neutral
"Okay, thank you.",Neutral
"Thank you, you too.",Positive
"Hi, I'm calling to get a case pre-authorized. My name is Emily Wilson and my member ID is MEM123456.",Negative
"It's March 12, 1985.",Positive
I'm scheduled to see a specialist for a knee injury I've been experiencing. My doctor thinks I might need surgery.,Neutral
The doctor's name is Dr. Smith and the facility is Mercy Hospital.,Positive
"Sure, no problem.",Positive
"Okay, that makes sense. How much is the deductible?",Neutral
"Alright, that sounds good. So, is my case pre-authorized?",Neutral
"No, that's all. Thank you so much for your help!",Positive
"You too, thank you again!",Positive
Bye.,Positive
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson and my member ID is MEM123456.",Neutral
I'm looking for a cardiologist. I've been experiencing some chest pain and I want to get it checked out.,Neutral
"I'm available any time next week, Monday through Friday. Either morning or afternoon is fine.",Positive
That sounds great! I think I would prefer Dr. Smith on Wednesday at 9 AM.,Positive
"No, that's all. Thank you so much for your help!",Positive
Thank you! You too!,Positive
Sounds good. Thank you again for your help!,Positive
You too!,Positive
"No, that's all. Thank you again!",Negative
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson and my member ID is MEM012345.",Neutral
I'm looking to see a cardiologist and I'm available next Wednesday or Thursday.,Positive
I'm available anytime after 2 PM.,Negative
"That would be great, thank you.",Neutral
"Hmm, I think I'd like to see Dr. Smith.",Neutral
"No, that's all. Thank you for your help!",Negative
"Hi, I just wanted to confirm that my appointment is scheduled for 2:30 PM on Wednesday with Dr. Smith.",Negative
"Great, thank you. I just wanted to ask, what's the address of the office where I'll be seeing Dr. Smith?",Positive
"Okay, got it. And what's the parking situation like?",Neutral
"Alright, sounds good. I think that's all I need to know.",Positive
Thanks again for your help!,Positive
"Hi, I'm having some trouble registering and logging in to my online service account. My member ID is MEM123456.",Negative
It just says that my username and password are incorrect. But I'm sure I'm entering them correctly.,Neutral
"Okay, let me try that. (pause) Okay, I've cleared everything. But I'm still getting the same error message.",Neutral
"My email address is jsmith@email.com, and my password is... (pauses, whispers) ...my password is ilovecats123.",Negative
Sure thing.,Positive
"Ah, yeah! I had forgotten about that. Let me check my email real quick. (pause) Okay, I've got the code. But how do I enter it?",Neutral
"Okay... (pause) Nope, it's still not working.",Neutral
"Okay, that sounds great. Thank you so much for your help so far!",Positive
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson and my member ID is MEM123456.",Neutral
I'm looking for a dermatologist and I'm available any day next week. Do you have any recommendations?,Positive
That sounds great. Can you tell me a bit more about both doctors?,Positive
That's helpful. I think I'd like to schedule an appointment with Dr. Johnson on Thursday at 10 AM.,Neutral
"Wonderful, thank you so much for your help. I really appreciate it.",Positive
"No, that's all. Thank you again.",Negative
"Hi, I'm calling about a denied claim I received for a recent medical service. My name is Emily Wilson and my member ID is MEM123456.",Negative
"Yes, of course. The date of service was January 10th, and the reason for denial was that the policy does not cover the service. But I had switched my policy in December, and as per my new policy, the affected services should be covered.",Neutral
Okay...,Neutral
That's unacceptable. I switched my policy over a month ago. Why hasn't it been updated in your system yet?,Negative
Okay... I just want this to be resolved as soon as possible. Can you tell me how long it will take?,Neutral
Okay... And what about the status of my claim? Will it be approved?,Neutral
Alright... Thank you for your help. I appreciate it.,Positive
"No, that's all. Thank you.",Negative
You too. Bye.,Positive
"Hi, I'm calling about a denied claim. My member ID is MEM123456. I received a letter stating that the service isn't covered under my policy, but I've switched to a new policy that does cover it.",Negative
"It was on January 10th, and it was for a physical therapy session.",Negative
"Okay, that sounds good. How long will it take to update the policy and reprocess the claim?",Neutral
"Alright, that sounds good. Thank you for your help.",Positive
"No, that's all. Thank you again.",Negative
"Hi, I'm having trouble registering and logging in to my online service account. I've tried multiple times, but I keep getting an error message. My member ID is MEM123456.",Negative
"It says ""Invalid username or password."" But I'm positive I'm entering the correct information.",Neutral
"It's jsmith@email.com. And yeah, I just tried logging in again and got the same error message.",Negative
"(pauses) Yeah, I'm still holding.",Positive
(frustrated) That's ridiculous. I've only tried logging in a few times. And now you're telling me my account is locked?,Negative
(sighs) Fine.,Positive
(skeptical) Okay... what's the temporary password?,Neutral
"(pauses) Okay, I'm logged in now. But this is really frustrating. I shouldn't have had to call technical support just to log in to my account.",Negative
"(hesitant) No, that's all. Thanks, I guess.",Negative
(hangs up),Negative
"Hi, I'm having some trouble registering and logging in to my online service account. My member ID is MEM456789.",Negative
"It just says ""Invalid username or password"" every time I try to log in. I've tried resetting my password multiple times, but it doesn't seem to be working.",Negative
(sighs) Fine. I've reset it again. But I'm still getting the same error message.,Neutral
It's johndoe@email.com.,Positive
(irritated) Why wasn't it activated in the first place? I've been trying to get this working for hours.,Negative
(sighs) Okay... let me try again.,Neutral
(pause) Okay... I'm in. Finally.,Neutral
"No, that's all. Thanks for your help, I guess.",Negative
"Hi, I'm calling about a denied claim I received for a recent medical service. My claim was denied because the policy doesn't cover the service, but I'm certain I switched to a new policy that does cover it. My member ID is MEM123456.",Negative
"Yes, the service was on January 10th, and the denial reason is ""policy does not cover the service"". But like I said, I've switched to a new policy that started on January 1st, and I'm sure this service is covered under the new policy.",Negative
"Okay, that sounds good. I appreciate your help with this.",Neutral
"That sounds great, thank you so much for your help. I appreciate it.",Positive
"No, that's all. Thank you again.",Negative
"Hello, I'm calling about my recent doctor's visit. I was charged a $50 copay, but I thought my policy had a $20 copay for that service.",Negative
It's MEM123456.,Neutral
It was on February 10th and the provider was Dr. Smith.,Negative
But I'm certain my policy says $20 copay for specialist visits.,Neutral
What kind of additional information?,Neutral
"Okay, that makes sense. But I'm still not sure why I wasn't informed about the higher copay before the visit.",Neutral
"Alright, thank you for looking into this. I appreciate it.",Positive
"No, that's all for now. Thank you.",Positive
"Hi, I'm calling to get a case pre-authorized for a upcoming medical procedure. My name is Emily Wilson and my member ID is MEM543210.",Negative
My date of birth is 02/12/1985 and the last four digits of my social security number are 4219.,Negative
"Yes, I'm scheduled to undergo a knee replacement surgery on March 15th at Mercy Hospital. My doctor's name is Dr. Smith and the procedure code is 27447.",Negative
I've been experiencing severe knee pain due to arthritis and my doctor has recommended the replacement surgery to alleviate the pain and improve my mobility.,Positive
"Sure, thank you.",Positive
"Okay, that's fine. What else do you need from me?",Neutral
"Yes, I can do that. What's the fax number?",Neutral
"Okay, thank you. How long will it take to get a decision?",Neutral
"Okay, that sounds good. Thank you for your help today.",Neutral
Thanks again.,Positive
"Hi, I'm calling about a denied claim I received for a recent medical service. My name is Emily Wilson, and my member ID is MEM123456.",Negative
"Yes, of course. The claim was for a physical therapy session, and the denial letter said that my policy doesn't cover this service. But I'm certain that my new policy does cover it. I switched policies a few months ago.",Neutral
It was effective as of January 1st.,Positive
"Oh, I see. So, what can be done to fix this?",Neutral
"That sounds great, thank you so much for your help!",Positive
"Great, thank you. How long will it take to get the claim reprocessed?",Positive
"Okay, that sounds good. Thank you again for your help in resolving this issue.",Neutral
"No, that's all. Thank you again for your time and assistance.",Positive
"Hi, I'm calling because I'm having trouble logging in to my online service account. My member ID is MEM123456.",Negative
"Well, I'm trying to register and log in, but it keeps saying my credentials are incorrect. I've tried resetting my password, but it's still not working.",Negative
It's jsmith@email.com.,Positive
"Okay... (pause) Nope, still not working.",Neutral
Sure.,Positive
"Okay, great. Thank you.",Positive
"(pause) Okay, that seems to be working now. Thank you for your help!",Neutral
"No, that's all. Thank you again.",Negative
"Hi, I'm calling about a denied claim I received for a recent medical service. The reason stated was that my policy doesn't cover it, but I'm certain I switched to a new policy that should cover this service.",Negative
"Yes, my name is Emily Wilson, and the date of service was March 10th.",Negative
I switched policies about two months ago. I remember selecting the option that included coverage for the service I received.,Negative
"Oh, I see. Can you fix that and reprocess my claim?",Negative
How long will this take?,Positive
"Okay, that sounds good. Thank you for your help.",Neutral
"No, that's all. Thank you again.",Negative
"Hi, I'm calling about my recent visit to the doctor's office. I was charged a $50 copay, but I thought my policy only had a $20 copay for that service.",Negative
My member ID is MEM456123 and the visit was on February 10th.,Positive
It was Smith Medical Group.,Neutral
"That's right. I've been to this doctor before, and I've never been charged more than $20.",Negative
"That's what I thought. So, what can be done to fix this?",Neutral
"Okay, that sounds good.",Neutral
"Okay, great. Thank you for your help.",Positive
"No, that's all. Thank you again.",Negative
"Hi, I'm having trouble logging in to my online service account. My member ID is MEM123456.",Negative
"Yes, it says my username and password are incorrect, but I'm certain I'm entering them correctly.",Neutral
"Okay, let me try that. (pause) I've cleared the cache and cookies, but I'm still getting the same error message.",Neutral
"That's a good idea. I'll try resetting my password now. (pause) Okay, I've reset my password, but I'm still having trouble logging in.",Neutral
"Sure, I'll hold.",Neutral
"Great, thank you so much! I really appreciate your help.",Positive
"No, that's all. Thank you again for your help.",Negative
"Hi, I'm calling to get a case pre-authorized for a procedure I need to have done. My name is Emily Wilson and my member ID is MEM123456.",Neutral
"My date of birth is March 12, 1985, and I'm looking to get a knee replacement surgery.",Positive
My doctor's name is Dr. Smith and the facility is Springfield Hospital.,Positive
"Sure, go ahead.",Positive
"My primary care physician's name is Dr. Johnson and my current address is 123 Main Street, Anytown, USA 12345.",Positive
"Okay, that sounds good. How long will it take to get a decision?",Neutral
"Okay, great. Thank you so much for your help.",Positive
"No, that's all. Thank you again.",Negative
"You too, thank you.",Positive
Bye.,Positive
"Hi, I'm calling about a denied claim I received for a recent medical service. My member ID is MEM123456. I was told that the policy doesn't cover the service, but I'm pretty sure it should be covered under my new policy.",Negative
"It's MEM123456, and the date of service was January 10th.",Negative
I switched policies on December 1st. I was told that the new policy would cover the service I received.,Negative
"That makes sense. So, what can be done to fix this?",Neutral
"Okay, that sounds good. Thank you.",Neutral
"Alright, that sounds great. Thank you for your help.",Positive
"No, that's all. Thank you again.",Negative
"Hi, I'm calling about issues with my online account. I'm having trouble registering and logging in. My member ID is MEM123456.",Negative
"I'm not getting any error message. It just says ""processing"" and then nothing happens. I've tried multiple times, but I haven't been able to get past that point.",Negative
"Okay, I'll try that. (pause) Alright, I've cleared my cache and cookies. Let me try logging in again. (pause) Still not working.",Neutral
"Okay, I'll try that. (pause) Yeah, I'm still having the same issue.",Neutral
It's johndoe@email.com.,Positive
"Okay, I'll try that. (pause) That didn't work either.",Neutral
"Okay, I'll hold.",Neutral
"Yeah, that's fine. Thank you for your help so far.",Positive
"Hi, I'm calling to schedule an appointment with a specialist. My name is Emily Wilson, and my member ID is MEM123456.",Neutral
"My date of birth is March 12, 1985, and I'm looking to see a cardiologist.",Positive
That's a bit too early for me. Do you have anything later in the day?,Neutral
That sounds great. Can you tell me a bit about Dr. Johnson?,Positive
"Yes, that sounds good. Can you go ahead and schedule it for me?",Positive
"No, that's all. Thank you for your help.",Negative
Thank you. Bye.,Positive
"Hi, I'm calling about a denied claim I received for my recent medical service. My claim number is CLM123456. I believe it was denied in error. My name is Emily Wilson and my member ID is MEM456789.",Negative
"Yes, of course. The service was for a physical therapy session, and the reason given was that it's not covered under my policy.",Neutral
"I actually recently switched to a new policy, which I thought covered physical therapy sessions. I'm not sure why it was denied. My new policy is a Platinum plan, and I switched to it last month.",Negative
"Oh, I see. So, it's just a mistake on your end?",Negative
"Okay, thank you.",Neutral
"Great, thank you so much for your help! I appreciate it.",Positive
"No, that's all. Thank you again.",Negative
"Hi, I'm calling to get a case pre-authorized. My name is Emily Wilson and my member ID is MEM123456.",Negative
"My date of birth is March 12, 1985, and my primary care physician is Dr. John Smith.",Positive
I'm looking to get a knee replacement surgery. I've been experiencing a lot of pain and my doctor thinks this is the best course of action.,Positive
The procedure code is 27447 and the surgery is scheduled for April 15th.,Negative
Sure thing.,Positive
"That's great news, thank you! I was expecting to have to pay the deductible. What's the next step in the process?",Positive
"Sounds good. Thank you so much for your help, you've been really great to work with.",Positive
"Thanks again, bye!",Positive
"Hi, I'm calling about my recent copay for a doctor's visit. I was charged $50, but I thought it was supposed to be $20 or maybe even free. Can you help me figure out what's going on?",Negative
It's MEM543219.,Neutral
"It's March 12, 1985.",Positive
It was on January 10th and it was a routine physical exam.,Negative
Okay.,Neutral
So what does that mean for me? Will I get a refund?,Negative
"Okay, that sounds good. How long will it take to get the refund?",Neutral
"Alright, thank you for your help.",Positive
"No, that's all. Thank you.",Negative
"Hi, I'm trying to register and log in to my online service account, but I'm having some trouble. Can someone help me? (00:00)",Neutral
My member ID is MEM123456. (00:10),Positive
"Yeah, it says that my username or password is incorrect. But I'm pretty sure I'm entering the right information. (00:20)",Negative
"I've already tried that, but it didn't work. (00:30)",Negative
I'm using Google Chrome. (00:40),Positive
"Okay, let me try that. (01:00)",Neutral
"No, everything is still the same. (01:15)",Negative
"Okay, sure. (01:30)",Neutral
"Oh, great! Thank you so much for your help. I really appreciate it. (02:10)",Positive
"No, that's all. Thank you again for your help. (02:30)",Negative
"Hi, I'm having trouble registering and logging in to my online service account. My member ID is MEM456789.",Negative
"Well, when I try to register, it says my email address is already in use, but I'm sure I've never registered before. And when I try to log in, it says my password is incorrect, but I'm sure I'm entering the correct one.",Neutral
"Okay, I'll try that. (pause) Okay, I've tried resetting my password, but it's still not working.",Neutral
It's jsmith@email.com.,Positive
"Okay, that makes sense. But will that affect my login credentials?",Neutral
"Okay... (pause) Yes, that seems to have worked! I'm able to log in now.",Neutral
"No, that's all. Thank you for your help!",Negative
"You too, thank you!",Positive
"Hi, I'm calling about a denied claim. My claim for the recent medical service was denied because the policy doesn't cover it. But I had switched to a new policy which should cover it.",Negative
It's MEM123456.,Neutral
The date of service was January 10th and it was for a physical therapy session.,Negative
That makes sense. I did switch policies at the beginning of the year. Can you update my policy information and reprocess my claim?,Neutral
"Okay, thank you.",Neutral
"Okay, thank you for your help.",Neutral
"No, that's all. Thank you again.",Negative
